GRID_CODE,CLC_CODE,LABEL3,RGB,Roughness_Length
1,111,Continuous urban fabric,230-000-077,1.0
2,112,Discontinuous urban fabric,255-000-000,1.0
3,121,Industrial or commercial units,204-077-242,1.0
4,122,Road and rail networks and associated land,204-000-000,1.0
5,123,Port areas,230-204-204,1.0
6,124,Airports,230-204-230,1.0
7,131,Mineral extraction sites,166-000-204,1.0
8,132,Dump sites,166-077-000,1.0
9,133,Construction sites,255-077-255,1.0
10,141,Green urban areas,255-166-255,1.0
11,142,Sport and leisure facilities,255-230-255,1.0
12,211,Non-irrigated arable land,255-255-168,0.03
13,212,Permanently irrigated land,255-255-000,0.03
14,213,Rice fields,230-230-000,0.03
15,221,Vineyards,230-128-000,0.1
16,222,Fruit trees and berry plantations,242-166-077,0.1
17,223,Olive groves,230-166-000,0.1
18,231,Pastures,230-230-077,0.03
19,241,Annual crops associated with permanent crops,255-230-166,0.1
20,242,Complex cultivation patterns,255-230-077,0.3
21,243,Land principally occupied by agriculture and  natural vegetation,230-204-077,0.3
22,244,Agro-forestry areas,242-204-166,0.1
23,311,Broad-leaved forest,128-255-000,1.5
24,312,Coniferous forest,000-166-000,1.5
25,313,Mixed forest,077-255-000,1.5
26,321,Natural grasslands,204-242-077,0.03
27,322,Moors and heathland,166-255-128,0.03
28,323,Sclerophyllous vegetation,166-230-077,0.03
29,324,Transitional woodland-shrub,166-242-000,0.5
30,331,Beaches dunes sands,230-230-230,0.03
31,332,Bare rocks,204-204-204,0.005
32,333,Sparsely vegetated areas,204-255-204,0.05
33,334,Burnt areas,000-000-000,0.05
34,335,Glaciers and perpetual snow,166-230-204,0.0004
35,411,Inland marshes,166-166-255,0.2
36,412,Peat bogs,077-077-255,0.03
37,421,Salt marshes,204-204-255,0.2
38,422,Salines,230-230-255,0.2
39,423,Intertidal flats,166-166-230,0.005
40,511,Water courses,000-204-242,0.0002 
41,512,Water bodies,128-242-230,0.0002 
42,521,Coastal lagoons,000-255-166,0.0002
43,522,Estuaries,166-255-230,0.0002
44,523,Sea and ocean,230-242-255,0.0002
48,999,NODATA,,
49,990,UNCLASSIFIED LAND SURFACE,,
50,995,UNCLASSIFIED WATER BODIES,230-242-255,
